,nome,id
0,ABEL MESQUITA JR.,178957
1,ABELARDO CAMARINHA,141463
3,ABELARDO LUPION,73764
5,ABÍLIO SANTANA,204554
6,ABOU ANNI,204521
7,ACÁCIO FAVACHO,204379
8,ACÁCIO JÚNIOR,131711
9,ACELINO POPÓ,161907
10,ACÉLIO CASAGRANDE,143254
11,ADAIL CARNEIRO,178864
12,ADALBERTO CAVALCANTI,178914
13,ADÃO PRETTO,73886
14,ADELMO CARNEIRO LEÃO,178890
15,ADELSON BARRETO,178968
16,ADEMIR CAMILO,133374
19,ADÉRMIS MARINI,196359
20,ADILTON SACHETTI,178903
21,ADOLFO VIANA,204560
22,ADRIAN,160577
23,ADRIANA VENTURA,204528
24,ADRIANO DO BALDY,121948
25,AÉCIO NEVES,74646
26,AELTON FREITAS,141372
30,AFFONSO CAMARGO,73765
31,AFONSO FLORENCE,160508
34,AFONSO HAMM,136811
38,AFONSO MOTTA,178835
41,AGNALDO MUNIZ,74358
42,AGUINALDO RIBEIRO,160527
45,AIRTON FALEIRO,204495
46,AIRTON ROVEDA,73457
47,AJ ALBUQUERQUE,204549
48,AKIRA OTSUBO,173269
49,ALAN RICK,178836
51,ALBANO FRANCO,141373
52,ALBÉRICO FILHO,74018
53,ALBERTO FILHO,160582
55,ALBERTO FRAGA,73579
57,ALBERTO MOURÃO,74696
58,ALBERTO SILVA,74310
59,ALCENI GUERRA,139133
60,ALCEU MOREIRA,160559
63,ALCIDES RODRIGUES,204413
64,ALDO REBELO,73428
66,ALÊ SILVA,204545
67,ALENCAR SANTANA BRAGA,204501
68,ALESSANDRO MOLON,160511
71,ALESSANDRO SABINO,150635
72,ALEX CANZIANI,73458
75,ALEX MANENTE,178972
77,ALEX SANTANA,204571
78,ALEXANDRE BALDY,178875
79,ALEXANDRE CARDOSO,74829
81,ALEXANDRE FROTA,204544
82,ALEXANDRE LEITE,160545
85,ALEXANDRE PADILHA,204503
86,ALEXANDRE ROSO,160579
87,ALEXANDRE SANTOS,74830
89,ALEXANDRE SERFIOTIS,178833
91,ALEXANDRE SILVEIRA,141374
93,ALEXANDRE TOLEDO,169712
94,ALEXANDRE VALLE,178936
95,ALEXIS FONTEYNE,204516
96,ALFREDO KAEFER,141454
99,ALFREDO NASCIMENTO,178846
100,ALFREDO SIRKIS,116663
101,ALICE PORTUGAL,74057
105,ALIEL MACHADO,178927
107,ALINE CORRÊA,141375
109,ALINE GURGEL,204353
110,ALINE SLEUTJES,204400
111,ALMEIDA LIMA,160626
112,ALTINEU CÔRTES,178937
114,ALUISIO MENDES,178881
116,AMARO NETO,204356
117,AMAURI TEIXEIRA,160603
118,AMIR LANDO,174861
119,ANA ARRAES,141377
121,ANA PERUGINI,178973
122,ANDERSON FERREIRA,160551
124,ANDRÉ ABDON,178831
126,ANDRÉ AMARAL,195143
127,ANDRÉ DE PAULA,74471
131,ANDRÉ DIAS,161905
132,ANDRÉ FERREIRA,204423
133,ANDRÉ FIGUEIREDO,133439
136,ANDRÉ FUFUCA,178882
138,ANDRÉ JANONES,204515
139,ANDRE MONTORO,159261
140,ANDRE MOURA,160543
142,ANDRE VARGAS,141378
144,ANDRE ZACHAROW,74377
145,ANDRÉ ZACHAROW,74377
146,ANDREIA ZITO,141379
149,ANDRES SANCHEZ,178974
150,ANGELA ALBINO,192120
151,ANGELA AMIN,73696
153,ANGELA PORTELA,141380
154,ANGELIM,178837
155,ÂNGELO AGNOLIN,160638
156,ANGELO VANHONI,141381
158,ANÍBAL GOMES,74212
162,ANN PONTES,73928
163,ANSELMO DE JESUS,73937
165,ANTHONY GAROTINHO,160539
166,ANTÔNIA LÚCIA,123756
167,ANTÔNIO ANDRADE,141387
169,ANTONIO BALHMANN,74213
171,ANTONIO BRITO,160553
174,ANTONIO BULHÕES,141383
177,ANTONIO CARLOS,159262
178,ANTÔNIO CARLOS BIFFI,74373
179,ANTONIO CARLOS BISCAIA,73492
180,ANTONIO CARLOS CHAMARIZ,152611
181,ANTONIO CARLOS MAGALHÃES NETO,74058
183,ANTONIO CARLOS MENDES THAME,73584
186,ANTONIO CARLOS PANNUNZIO,73431
187,ANTONIO CRUZ,73817
188,ANTONIO FEIJÃO,73987
189,ANTONIO IMBASSAHY,160530
191,ANTÔNIO JÁCOME,178950
192,ANTONIO JOSÉ MEDEIROS,141388
193,ANTONIO PALOCCI,74701
194,ANTÔNIO ROBERTO,141390
196,ARACELY DE PAULA,74648
198,ARIOSTO HOLANDA,74103
201,ARLINDO CHINAGLIA,73433
205,ARMANDO ABÍLIO,74405
207,ARMANDO MONTEIRO,74472
208,ARMANDO VERGÍLIO,160546
209,ARNALDO FARIA DE SÁ,73434
212,ARNALDO JARDIM,141391
216,ARNALDO JORDY,160602
218,ARNALDO MADEIRA,73993
219,ARNALDO VIANNA,141392
220,ARNON BEZERRA,74291
223,AROLDE DE OLIVEIRA,74833
226,AROLDO MARTINS,204414
227,ARTHUR LIRA,160541
230,ARTHUR OLIVEIRA MAIA,160600
233,ARTHUR VIRGÍLIO BISNETO,178847
234,ARTUR BRUNO,160678
235,ASDRUBAL BENTES,74222
237,ASSIS CARVALHO,159237
240,ASSIS DO COUTO,74378
243,ASSIS MELO,160581
245,ÁTILA A. NUNES,193165
246,ÁTILA LINS,74090
250,ÁTILA LIRA,74459
254,AUDIFAX,160680
255,AUGUSTO CARVALHO,73655
258,AUGUSTO COUTINHO,160665
261,AUGUSTO FARIAS,74441
262,ÁUREA CAROLINA,204509
263,AUREO,160512
265,AUREO RIBEIRO,160512
266,AYRTON XEREZ,74024
267,B. SÁ,74312
268,BACELAR,69871
270,BALEIA ROSSI,178975
272,BARBOSA NETO,141449
273,BEBETO,178834
274,BEBETO GALVÃO,178834
275,BEL MESQUITA,141376
276,BENE CAMACHO,156634
277,BENEDITA DA SILVA,73701
280,BENEDITO DE LIRA,74517
281,BENES LEOCÁDIO,109429
282,BENITO GAMA,74535
283,BENJAMIN MARANHÃO,74040
285,BERINHO BANTIM,160554
286,BERNARDO ARISTON,74169
287,BERNARDO SANTANA DE VASCONCELLOS,109152
288,BETINHO GOMES,178915
289,BETINHO ROSADO,74321
291,BETO ALBUQUERQUE,73478
293,BETO FARO,141335
297,BETO MANSUR,73437
300,BETO PEREIRA,204358
