,ano,cnpjCpfFornecedor,codDocumento,codLote,codTipoDocumento,dataDocumento,mes,nomeFornecedor,numDocumento,numRessarcimento,parcela,tipoDespesa,tipoDocumento,urlDocumento,valorDocumento,valorGlosa,valorLiquido,id_dep
0,2015,05939467000115,5886345,1255355,0,2015-11-14,11,COMPANHIA DE AGUAS E ESGOTOS DE RORAIMA,0010100910378000,,0,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,Nota Fiscal,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3074/2015/5886345.pdf,165.65,0.0,165.65,178957
1,2015,05939467000115,5886361,1255361,0,2015-12-10,12,COMPANHIA DE AGUAS E ESGOTOS DE RORAIMA,0010100910378000,,0,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,Nota Fiscal,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3074/2015/5886361.pdf,59.48,0.0,59.48,178957
2,2015,02341470000144,5886341,1255355,0,2015-11-27,11,ELETROBRAS DISTRIBUIÇÃO RORAIMA,000103091,,0,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,Nota Fiscal,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3074/2015/5886341.pdf,130.95,0.0,130.95,178957
3,2015,02341470000144,5928783,1268867,0,2015-12-30,12,ELETROBRAS DISTRIBUIÇÃO RORAIMA,000103400,,0,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,Nota Fiscal,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3074/2016/5928783.pdf,196.53,3.47,193.06,178957
4,2015,00540252000103,5608486,1168538,0,2015-02-23,2,PAPELARIA ABC Com. e Ind. LTDA.,42320,,0,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,Nota Fiscal,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3074/2015/5608486.pdf,310.25,0.0,310.25,178957
5,2015,08202116000115,5772352,1220276,0,2015-06-30,6,Auto Posto Aeroporto Ltda,477642,,0,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3074/2015/5772352.pdf,32.0,0.0,32.0,178957
6,2015,08202116000115,5772246,1220275,0,2015-08-07,8,Auto Posto Aeroporto Ltda,506884,,0,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3074/2015/5772246.pdf,50.0,0.0,50.0,178957
7,2015,08202116000115,5804438,1229908,0,2015-09-08,9,AUTO POSTO AEROPORTO LTDA.,528751,,0,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3074/2015/5804438.pdf,50.0,0.0,50.0,178957
8,2015,08202116000115,5804312,1229908,0,2015-09-24,9,AUTO POSTO AEROPORTO LTDA.,544551,,0,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3074/2015/5804312.pdf,75.0,0.0,75.0,178957
9,2015,00746278000102,5682898,1192297,0,2015-05-06,4,AUTO POSTO CHAVES LTDA,815253,,0,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3074/2015/5682898.pdf,170.02,0.0,170.02,178957
10,2015,00692418000107,5772299,1220276,0,2015-08-14,8,AUTO POSTO CINCO ESTRELAS LTDA,153224,,0,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3074/2015/5772299.pdf,100.0,0.0,100.0,178957
11,2015,00692418000107,5844714,1242398,0,2015-11-11,11,AUTO POSTO CINCO ESTRELAS LTDA,179986,,0,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3074/2015/5844714.pdf,80.0,0.0,80.0,178957
12,2015,06066360000172,5844650,1242398,0,2015-11-03,11,AUTO POSTO JARDIM BELVEDERE LTDA.,047836,,0,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3074/2015/5844650.pdf,193.0,0.0,193.0,178957
13,2015,04187151000151,5683205,1192297,0,2015-04-01,4,BORGES CAHER COM. DE DERIVADOS DE PETROLEO LTDA,091284,,0,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3074/2015/5683205.pdf,177.0,0.0,177.0,178957
14,2015,00097626000168,5804427,1229908,0,2015-09-17,9,BRASAL COMBUSTIVEIS LTDA,611756,,0,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3074/2015/5804427.pdf,150.0,0.0,150.0,178957
15,2015,00306597007614,5804326,1229908,0,2015-09-02,9,CASCOL COMBUSTIVEIS,044003,,0,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3074/2015/5804326.pdf,160.0,0.0,160.0,178957
16,2015,00306597007614,5804453,1229908,0,2015-09-01,9,CASCOL COMBUSTIVEIS,26377,,0,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3074/2015/5804453.pdf,40.0,0.0,40.0,178957
17,2015,00306597007614,5804448,1229908,0,2015-09-10,9,CASCOL COMBUSTIVEIS,26451,,0,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3074/2015/5804448.pdf,50.0,0.0,50.0,178957
18,2015,00306597007290,5804396,1229908,0,2015-09-16,9,CASCOL COMBUSTIVEIS LTDA,021310,,0,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3074/2015/5804396.pdf,50.0,0.0,50.0,178957
19,2015,00306597007290,5832155,1238293,0,2015-10-01,10,CASCOL COMBUSTIVEIS LTDA,021806,,0,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3074/2015/5832155.pdf,20.0,0.0,20.0,178957
20,2015,00306597007290,5719121,1203854,0,2015-05-20,5,Cascol Combustíveis Para Veículos  Ltda,017759,,0,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3074/2015/5719121.pdf,150.0,0.0,150.0,178957
21,2015,00306597000440,5658612,1184294,0,2015-04-07,4,CASCOL COMBUSTÍVEIS PARA VEÍCULOS LTDA,102837,,0,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3074/2015/5658612.pdf,80.0,0.0,80.0,178957
22,2015,00306597002655,5772277,1220276,0,2015-07-14,7,Cascol Combustíveis para Veículos Ltda,035631,,0,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3074/2015/5772277.pdf,195.0,0.0,195.0,178957
23,2015,00306597002906,5832144,1238293,0,2015-10-20,10,CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,009301,,0,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3074/2015/5832144.pdf,100.0,0.0,100.0,178957
24,2015,00306597003112,5719126,1203854,0,2015-05-27,5,CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,033977,,0,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3074/2015/5719126.pdf,110.11,0.0,110.11,178957
25,2015,00306597005247,5719148,1203868,0,2015-06-08,6,CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,046422,,0,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3074/2015/5719148.pdf,40.0,0.0,40.0,178957
26,2015,00306597006308,5832165,1238293,0,2015-10-01,10,CASCOL COMBUSTÍVEIS PARA VEÍCULOS LTDA,026458,,0,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3074/2015/5832165.pdf,80.0,0.0,80.0,178957
27,2015,00306597006308,5832170,1238293,0,2015-10-22,10,CASCOL COMBUSTÍVEIS PARA VEÍCULOS LTDA,027313,,0,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3074/2015/5832170.pdf,60.0,0.0,60.0,178957
28,2015,00306597006308,5832176,1238293,0,2015-10-27,10,CASCOL COMBUSTÍVEIS PARA VEÍCULOS LTDA,027499,,0,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3074/2015/5832176.pdf,146.0,0.0,146.0,178957
29,2015,00306597006995,5719157,1203868,0,2015-06-09,6,CASCOL COMBUSTÍVEIS PARA VEÍCULOS LTDA,059999,,0,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3074/2015/5719157.pdf,40.0,0.0,40.0,178957
30,2015,00306597007614,5772241,1220275,0,2015-07-06,7,CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,039942,,0,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3074/2015/5772241.pdf,40.0,0.0,40.0,178957
31,2015,00306597007614,5772293,1220276,0,2015-07-14,7,CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,040512,,0,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3074/2015/5772293.pdf,40.0,0.0,40.0,178957
32,2015,00306597007614,5832150,1238293,0,2015-09-30,9,CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,046032,,0,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3074/2015/5832150.pdf,80.0,0.0,80.0,178957
33,2015,00306597007614,5832133,1238293,0,2015-10-18,10,CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,047363,,0,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3074/2015/5832133.pdf,40.0,0.0,40.0,178957
34,2015,00306597007614,5844673,1242398,0,2015-11-03,11,CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,048454,,0,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3074/2015/5844673.pdf,90.0,0.0,90.0,178957
35,2015,00306597007614,5844680,1242398,0,2015-11-04,11,CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,048622,,0,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3074/2015/5844680.pdf,40.02,0.0,40.02,178957
36,2015,00306597007614,5844704,1242398,0,2015-11-08,11,CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,048887,,0,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3074/2015/5844704.pdf,50.0,0.0,50.0,178957
37,2015,00306597001926,5844687,1242398,0,2015-11-05,11,CASCOL COMBUSTIVEIS PARA VEICULOS LTDA.,072421,,0,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3074/2015/5844687.pdf,60.0,0.0,60.0,178957
38,2015,00306597006308,5682913,1192297,0,2015-04-29,4,CASCOL COMBUSTÍVEIS PARA VEÍCULOS LTDA.,020268,,0,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3074/2015/5682913.pdf,169.96,0.0,169.96,178957
39,2015,00306597006308,5682922,1192297,0,2015-05-12,4,CASCOL COMBUSTÍVEIS PARA VEÍCULOS LTDA.,020830,,0,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3074/2015/5682922.pdf,15.0,0.0,15.0,178957
40,2015,00306597006308,5682919,1192297,0,2015-05-12,4,CASCOL COMBUSTÍVEIS PARA VEÍCULOS LTDA.,020836,,0,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3074/2015/5682919.pdf,85.0,0.0,85.0,178957
41,2015,00306597006308,5772225,1220275,0,2015-07-02,7,CASCOL COMBUSTÍVEIS PARA VEÍCULOS LTDA.,022964,,0,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3074/2015/5772225.pdf,35.0,0.0,35.0,178957
